user_id,business_id,rating
3,1783,5.0
3,457,4.0
3,2513,4.0
35,4326,5.0
35,5767,4.0
35,2989,5.0
35,2344,2.0
276,880,3.0
276,4656,3.0
276,558,4.0
276,558,4.0
276,558,3.0
276,558,3.0
276,4656,3.0
276,3438,1.0
276,592,3.0
276,4088,2.0
276,5360,4.0
276,3143,4.0
276,4326,5.0
276,1356,2.0
276,104,4.0
276,1442,2.0
339,2109,4.0
339,5360,4.0
339,3620,4.0
339,880,3.0
376,2083,4.0
376,1260,2.0
376,3806,3.0
376,2589,4.0
698,837,3.0
698,837,2.0
698,5654,5.0
698,4088,5.0
722,5045,1.0
722,5045,1.0
722,5045,1.0
722,5045,1.0
722,5045,1.0
722,5045,1.0
852,2006,3.0
852,3412,4.0
852,4184,4.0
852,723,3.0
926,880,4.0
926,1442,4.0
926,5516,4.0
926,45,2.0
926,4183,4.0
926,5647,3.0
926,2660,2.0
926,596,3.0
926,5292,4.0
982,522,4.0
982,2424,5.0
982,514,4.0
982,5617,4.0
987,4882,5.0
987,4882,5.0
987,4882,5.0
987,4882,5.0
991,45,3.0
991,2089,5.0
991,2480,3.0
991,3209,5.0
991,5685,2.0
991,4624,3.0
991,4989,2.0
991,4430,3.0
991,93,3.0
991,4693,3.0
991,4326,5.0
991,2086,2.0
991,1002,3.0
991,2907,3.0
991,3086,4.0
991,5267,5.0
1018,757,5.0
1018,4208,5.0
1018,5450,1.0
1018,1189,1.0
1052,3,3.0
1052,4567,5.0
1052,3119,5.0
1052,1164,4.0
1052,1819,4.0
1119,1332,4.0
1119,4541,4.0
1119,1332,2.0
1119,4541,5.0
1140,4212,4.0
1140,1820,3.0
1140,1186,4.0
1140,1442,3.0
1140,5260,4.0
1140,250,4.0
1223,4747,5.0
1223,2373,5.0
1223,104,3.0
1223,61,4.0
1483,880,1.0
1483,4123,3.0
1483,522,5.0
1483,3945,4.0
1483,3732,5.0
1483,5576,4.0
1483,45,2.0
1483,1190,1.0
1507,5059,4.0
1507,5639,4.0
1507,3944,5.0
1507,1337,1.0
1613,4550,4.0
1613,4550,4.0
1613,4550,4.0
1613,4550,4.0
1619,185,2.0
1619,3999,3.0
1619,2618,2.0
1619,774,5.0
1663,2255,5.0
1663,4717,5.0
1663,4184,4.0
1663,4157,4.0
1695,4671,4.0
1695,4369,3.0
1695,819,4.0
1695,3398,2.0
1768,2557,5.0
1768,3503,4.0
1768,4119,3.0
1768,604,5.0
1768,1152,4.0
1768,3732,4.0
1768,5055,1.0
1768,1598,4.0
1768,5168,4.0
1768,1411,5.0
1793,3523,4.0
1793,5585,2.0
1793,2463,1.0
1793,1870,1.0
1793,3586,1.0
1793,2463,5.0
1801,1820,5.0
1801,774,5.0
1801,1442,3.0
1801,1186,5.0
1801,1442,1.0
1801,2468,4.0
1801,3732,3.0
1881,3136,4.0
1881,1442,5.0
1881,4471,3.0
1881,4795,4.0
1893,45,3.0
1893,3732,4.0
1893,5250,4.0
1893,5312,3.0
2082,3178,3.0
2082,3178,1.0
2082,262,3.0
2082,3313,5.0
2103,4359,4.0
2103,4634,4.0
2103,4589,2.0
2103,2344,5.0
2160,1756,5.0
2160,4031,5.0
2160,369,3.0
2160,2041,2.0
2160,2557,4.0
2247,170,4.0
2247,3732,4.0
2247,5454,4.0
2247,5304,5.0
2274,1356,5.0
2274,904,5.0
2274,2045,4.0
2274,3143,5.0
2377,1442,2.0
2377,3637,2.0
2377,2015,2.0
2377,3165,3.0
2458,1260,5.0
2458,2618,4.0
2458,4576,4.0
2458,5605,5.0
2473,2109,4.0
2473,5360,4.0
2473,2781,3.0
2473,2417,4.0
2473,5111,4.0
2473,4580,4.0
2473,904,5.0
2473,3143,5.0
2473,1356,5.0
2473,2085,5.0
2473,25,5.0
2486,681,3.0
2486,5061,4.0
2486,1442,3.0
2486,129,3.0
2486,1186,3.0
2486,1442,3.0
2486,1881,3.0
2486,5755,4.0
2486,1442,5.0
2486,5081,4.0
2695,1022,5.0
2695,2480,2.0
2695,3840,4.0
2695,4990,4.0
2736,904,5.0
2736,4761,3.0
2736,185,2.0
2736,2344,4.0
2736,858,4.0
2736,2933,4.0
2790,3523,5.0
2790,2245,5.0
2790,5037,4.0
2790,4143,4.0
2856,1056,1.0
2856,1487,4.0
2856,5772,2.0
2856,5625,3.0
2856,4543,4.0
2856,5772,2.0
2856,24,3.0
2856,2344,4.0
2856,514,3.0
2856,24,3.0
2856,522,3.0
2856,2344,4.0
2886,4671,4.0
2886,3732,4.0
2886,2426,4.0
2886,2775,4.0
2886,1631,4.0
2886,2450,3.0
2886,3252,5.0
2886,522,4.0
2886,5215,3.0
2886,3801,4.0
2886,3417,4.0
2886,3453,4.0
2886,5168,5.0
2886,2557,5.0
2886,2452,5.0
2886,2662,5.0
2940,3717,5.0
2940,2761,3.0
2940,5379,5.0
2940,1876,4.0
2948,446,5.0
2948,1743,3.0
2948,4632,5.0
2948,1489,5.0
2948,45,3.0
2948,5027,4.0
3076,2085,5.0
3076,904,5.0
3076,904,5.0
3076,3639,4.0
3076,5201,4.0
3087,45,4.0
3087,1310,2.0
3087,1442,3.0
3087,5781,2.0
3311,4194,1.0
3311,3143,5.0
3311,1356,5.0
3311,566,5.0
3311,4874,5.0
3312,904,5.0
3312,1178,5.0
3312,2083,3.0
3312,4220,4.0
3317,2790,5.0
3317,1093,4.0
3317,5747,4.0
3317,3944,4.0
3344,2085,5.0
3344,2085,4.0
3344,2085,5.0
3344,4292,3.0
3410,4559,3.0
3410,4559,3.0
3410,4550,3.0
3410,4559,4.0
3410,4606,3.0
3410,3165,3.0
3410,5292,3.0
3410,5855,5.0
3410,5746,4.0
3410,3330,4.0
3410,2933,4.0
3410,774,5.0
3410,5521,4.0
3481,2613,5.0
3481,3274,5.0
3481,2436,5.0
3481,5390,4.0
3483,3732,4.0
3483,837,4.0
3483,723,4.0
3483,579,5.0
3550,5336,5.0
3550,774,5.0
3550,3806,5.0
3550,2083,5.0
3550,5176,4.0
3550,4359,5.0
3550,4845,5.0
3550,1684,4.0
3562,4634,5.0
3562,4378,2.0
3562,4378,4.0
3562,24,5.0
3562,473,5.0
3587,5585,4.0
3587,5444,3.0
3587,1189,1.0
3587,3523,5.0
3587,1410,4.0
3691,3084,3.0
3691,3600,5.0
3691,1054,5.0
3691,4304,3.0
3766,4783,2.0
3766,3973,3.0
3766,3661,4.0
3766,1054,4.0
3766,4514,3.0
3766,4624,3.0
3766,4624,3.0
3766,4830,5.0
3857,3622,2.0
3857,5697,5.0
3857,3622,1.0
3857,1870,1.0
3864,504,3.0
3864,4143,3.0
3864,1870,4.0
3864,4550,4.0
3875,5607,5.0
3875,680,4.0
3875,904,5.0
3875,3637,1.0
3887,5169,5.0
3887,1629,3.0
3887,4184,5.0
3887,4717,3.0
3908,774,5.0
3908,339,4.0
3908,5656,5.0
3908,1032,1.0
3908,5658,5.0
3908,5215,4.0
3908,3637,1.0
3913,473,5.0
3913,1260,4.0
3913,3101,4.0
3913,3966,4.0
3940,1600,5.0
3940,811,4.0
3940,5605,4.0
3940,3260,5.0
3940,2436,5.0
3940,774,5.0
3940,1775,4.0
3970,3732,5.0
3970,144,5.0
3970,5398,5.0
3970,1828,4.0
3970,1676,5.0
4011,2760,3.0
4011,4673,2.0
4011,497,5.0
4011,180,1.0
4252,1442,1.0
4252,880,2.0
4252,4471,3.0
4252,5631,5.0
4425,4639,3.0
4425,2373,3.0
4425,5081,1.0
4425,3274,5.0
4518,3730,2.0
4518,5215,1.0
4518,819,1.0
4518,1498,1.0
4518,2419,1.0
4540,2955,1.0
4540,4425,5.0
4540,4610,5.0
4540,4118,2.0
4541,2821,4.0
