usuario,hotel_recomendado,hotel_historico,num_propiedades_compartidas,propiedades_compartidas
376,104,2083,10,"[('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('BusinessParking={garage: False, street: True, validated: False, lot: True, valet: False}', 'has_attribute'), ('ByAppointmentOnly=False', 'has_attribute'), ('Caters=False', 'has_attribute'), ('DogsAllowed=True', 'has_attribute'), ('Food', 'has_category'), ('GoodForKids=True', 'has_attribute'), ('RestaurantsTakeOut=True', 'has_attribute'), ('Tours', 'has_category')]"
376,104,1260,6,"[('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('ByAppointmentOnly=False', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('Tours', 'has_category'), ('open', 'status')]"
376,104,2589,6,"[('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('ByAppointmentOnly=False', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('Tours', 'has_category'), ('open', 'status')]"
376,104,3806,12,"[('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('BusinessParking={garage: False, street: True, validated: False, lot: True, valet: False}', 'has_attribute'), ('ByAppointmentOnly=False', 'has_attribute'), ('Caters=False', 'has_attribute'), ('DogsAllowed=True', 'has_attribute'), ('Food', 'has_category'), ('GoodForKids=True', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('RestaurantsTakeOut=True', 'has_attribute'), ('Tours', 'has_category'), ('open', 'status')]"
376,1178,2083,7,"[('37203', 'has_postal_code'), ('4.0 stars', 'has_rating'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Nashville', 'located_in_city'), ('TN', 'in_state'), ('WiFi=free', 'has_attribute'), ('closed', 'status')]"
376,1178,1260,6,"[('4.0 stars', 'has_rating'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('Nashville', 'located_in_city'), ('TN', 'in_state'), ('WiFi=free', 'has_attribute')]"
376,1178,2589,4,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('Nashville', 'located_in_city'), ('TN', 'in_state')]"
376,1178,3806,6,"[('37203', 'has_postal_code'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('Nashville', 'located_in_city'), ('TN', 'in_state'), ('WiFi=free', 'has_attribute')]"
376,1201,2083,15,"[('4.0 stars', 'has_rating'), ('BYOB=False', 'has_attribute'), ('Bars', 'has_category'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('HappyHour=False', 'has_attribute'), ('Nightlife', 'has_category'), ('OutdoorSeating=True', 'has_attribute'), ('RestaurantsDelivery=True', 'has_attribute'), ('RestaurantsGoodForGroups=True', 'has_attribute'), ('RestaurantsReservations=False', 'has_attribute'), ('RestaurantsTakeOut=True', 'has_attribute'), ('TN', 'in_state'), ('Tours', 'has_category'), ('WheelchairAccessible=True', 'has_attribute')]"
376,1201,1260,10,"[('4.0 stars', 'has_rating'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('BusinessParking={garage: False, street: False, validated: False, lot: True, valet: False}', 'has_attribute'), ('DogsAllowed=False', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('Historical Tours', 'has_category'), ('TN', 'in_state'), ('Tours', 'has_category'), ('WheelchairAccessible=True', 'has_attribute'), ('open', 'status')]"
376,1201,2589,8,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('BusinessParking={garage: False, street: False, validated: False, lot: True, valet: False}', 'has_attribute'), ('DogsAllowed=False', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('TN', 'in_state'), ('Tours', 'has_category'), ('WiFi=no', 'has_attribute'), ('open', 'status')]"
376,1201,3806,18,"[('Bars', 'has_category'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('HasTV=True', 'has_attribute'), ('Nightlife', 'has_category'), ('NoiseLevel=average', 'has_attribute'), ('OutdoorSeating=True', 'has_attribute'), ('Restaurants', 'has_category'), ('RestaurantsAttire=casual', 'has_attribute'), ('RestaurantsDelivery=True', 'has_attribute'), ('RestaurantsGoodForGroups=True', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('RestaurantsReservations=False', 'has_attribute'), ('RestaurantsTakeOut=True', 'has_attribute'), ('TN', 'in_state'), ('Tours', 'has_category'), ('WheelchairAccessible=True', 'has_attribute'), ('open', 'status')]"
376,1442,2083,3,"[('ByAppointmentOnly=False', 'has_attribute'), ('RestaurantsTakeOut=True', 'has_attribute'), ('WiFi=free', 'has_attribute')]"
376,1442,1260,3,"[('ByAppointmentOnly=False', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
376,1442,2589,2,"[('ByAppointmentOnly=False', 'has_attribute'), ('open', 'status')]"
376,1442,3806,5,"[('ByAppointmentOnly=False', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('RestaurantsTakeOut=True', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
376,1914,2083,12,"[('37203', 'has_postal_code'), ('BikeParking=True', 'has_attribute'), ('BusinessAcceptsBitcoin=False', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('ByAppointmentOnly=False', 'has_attribute'), ('Caters=False', 'has_attribute'), ('Food', 'has_category'), ('HappyHour=False', 'has_attribute'), ('Nashville', 'located_in_city'), ('TN', 'in_state'), ('Tours', 'has_category'), ('WheelchairAccessible=True', 'has_attribute')]"
376,1914,1260,10,"[('BikeParking=True', 'has_attribute'), ('BusinessAcceptsBitcoin=False', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('ByAppointmentOnly=False', 'has_attribute'), ('Historical Tours', 'has_category'), ('Nashville', 'located_in_city'), ('TN', 'in_state'), ('Tours', 'has_category'), ('WheelchairAccessible=True', 'has_attribute'), ('open', 'status')]"
376,1914,2589,8,"[('5.0 stars', 'has_rating'), ('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('ByAppointmentOnly=False', 'has_attribute'), ('Nashville', 'located_in_city'), ('TN', 'in_state'), ('Tours', 'has_category'), ('open', 'status')]"
376,1914,3806,14,"[('37203', 'has_postal_code'), ('BikeParking=True', 'has_attribute'), ('BusinessAcceptsBitcoin=False', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('ByAppointmentOnly=False', 'has_attribute'), ('Caters=False', 'has_attribute'), ('Food', 'has_category'), ('Nashville', 'located_in_city'), ('NoiseLevel=average', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('TN', 'in_state'), ('Tours', 'has_category'), ('WheelchairAccessible=True', 'has_attribute'), ('open', 'status')]"
376,1924,2083,0,[]
376,1924,1260,1,"[('open', 'status')]"
376,1924,2589,1,"[('open', 'status')]"
376,1924,3806,1,"[('open', 'status')]"
376,1961,2083,2,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('WiFi=free', 'has_attribute')]"
376,1961,1260,5,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('DogsAllowed=False', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
376,1961,2589,4,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('DogsAllowed=False', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('open', 'status')]"
376,1961,3806,5,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
376,210,2083,8,"[('37203', 'has_postal_code'), ('4.0 stars', 'has_rating'), ('BikeParking=True', 'has_attribute'), ('BusinessParking={garage: False, street: True, validated: False, lot: True, valet: False}', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('Nashville', 'located_in_city'), ('TN', 'in_state'), ('Tours', 'has_category')]"
376,210,1260,8,"[('4.0 stars', 'has_rating'), ('Active Life', 'has_category'), ('BikeParking=True', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('Nashville', 'located_in_city'), ('TN', 'in_state'), ('Tours', 'has_category'), ('open', 'status')]"
376,210,2589,7,"[('Active Life', 'has_category'), ('BikeParking=True', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('Nashville', 'located_in_city'), ('TN', 'in_state'), ('Tours', 'has_category'), ('open', 'status')]"
376,210,3806,8,"[('37203', 'has_postal_code'), ('BikeParking=True', 'has_attribute'), ('BusinessParking={garage: False, street: True, validated: False, lot: True, valet: False}', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('Nashville', 'located_in_city'), ('TN', 'in_state'), ('Tours', 'has_category'), ('open', 'status')]"
