usuario,hotel_recomendado,hotel_historico,num_propiedades_compartidas,propiedades_compartidas
276,1093,1442,5,"[('Airports', 'has_category'), ('ByAppointmentOnly=False', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
276,1093,4326,4,"[('AZ', 'in_state'), ('Tucson', 'located_in_city'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
276,1093,3143,4,"[('BikeParking=True', 'has_attribute'), ('ByAppointmentOnly=False', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
276,1093,104,6,"[('BikeParking=True', 'has_attribute'), ('ByAppointmentOnly=False', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('Shopping', 'has_category'), ('Shopping Centers', 'has_category'), ('open', 'status')]"
276,1093,1356,2,"[('ByAppointmentOnly=False', 'has_attribute'), ('open', 'status')]"
276,1093,3438,2,"[('RestaurantsPriceRange2=2', 'has_attribute'), ('open', 'status')]"
276,1093,558,1,"[('RestaurantsPriceRange2=2', 'has_attribute')]"
276,1093,5360,3,"[('BikeParking=True', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('open', 'status')]"
276,1093,592,3,"[('RestaurantsPriceRange2=2', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
276,1093,4656,1,"[('RestaurantsPriceRange2=2', 'has_attribute')]"
276,1093,880,4,"[('Airports', 'has_category'), ('ByAppointmentOnly=False', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
276,1093,4088,3,"[('4.0 stars', 'has_rating'), ('ByAppointmentOnly=False', 'has_attribute'), ('open', 'status')]"
276,1144,1442,2,"[('RestaurantsTakeOut=True', 'has_attribute'), ('open', 'status')]"
276,1144,4326,2,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('open', 'status')]"
276,1144,3143,6,"[('4.5 stars', 'has_rating'), ('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('Tours', 'has_category'), ('open', 'status')]"
276,1144,104,7,"[('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Caters=False', 'has_attribute'), ('Food', 'has_category'), ('RestaurantsTakeOut=True', 'has_attribute'), ('Tours', 'has_category'), ('open', 'status')]"
276,1144,1356,4,"[('4.5 stars', 'has_rating'), ('MO', 'in_state'), ('Tours', 'has_category'), ('open', 'status')]"
276,1144,3438,4,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('open', 'status')]"
276,1144,558,3,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('Saint Louis', 'located_in_city')]"
276,1144,5360,8,"[('4.5 stars', 'has_rating'), ('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('Nightlife', 'has_category'), ('Saint Louis', 'located_in_city'), ('Tours', 'has_category'), ('open', 'status')]"
276,1144,592,3,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('open', 'status')]"
276,1144,4656,4,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('RestaurantsTakeOut=True', 'has_attribute'), ('Saint Louis', 'located_in_city')]"
276,1144,880,3,"[('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('open', 'status')]"
276,1144,4088,4,"[('MO', 'in_state'), ('Saint Louis', 'located_in_city'), ('Tours', 'has_category'), ('open', 'status')]"
276,1164,1442,2,"[('LA', 'in_state'), ('open', 'status')]"
276,1164,4326,4,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('Venues & Event Spaces', 'has_category'), ('open', 'status')]"
276,1164,3143,8,"[('Arts & Entertainment', 'has_category'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('DogsAllowed=False', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('GoodForKids=True', 'has_attribute'), ('Tours', 'has_category'), ('Venues & Event Spaces', 'has_category'), ('open', 'status')]"
276,1164,104,6,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('LA', 'in_state'), ('New Orleans', 'located_in_city'), ('Tours', 'has_category'), ('open', 'status')]"
276,1164,1356,6,"[('Arts & Entertainment', 'has_category'), ('DogsAllowed=False', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('Museums', 'has_category'), ('Tours', 'has_category'), ('open', 'status')]"
276,1164,3438,4,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('Venues & Event Spaces', 'has_category'), ('open', 'status')]"
276,1164,558,2,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category')]"
276,1164,5360,8,"[('Arts & Entertainment', 'has_category'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('DogsAllowed=False', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('GoodForKids=True', 'has_attribute'), ('Tours', 'has_category'), ('Venues & Event Spaces', 'has_category'), ('open', 'status')]"
276,1164,592,3,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('open', 'status')]"
276,1164,4656,3,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('GoodForKids=True', 'has_attribute')]"
276,1164,880,1,"[('open', 'status')]"
276,1164,4088,6,"[('4.0 stars', 'has_rating'), ('Arts & Entertainment', 'has_category'), ('GoodForKids=True', 'has_attribute'), ('Museums', 'has_category'), ('Tours', 'has_category'), ('open', 'status')]"
276,1195,1442,2,"[('RestaurantsPriceRange2=2', 'has_attribute'), ('open', 'status')]"
276,1195,4326,3,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('DogsAllowed=True', 'has_attribute'), ('open', 'status')]"
276,1195,3143,4,"[('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('open', 'status')]"
276,1195,104,7,"[('Arts & Crafts', 'has_category'), ('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('DogsAllowed=True', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('Shopping', 'has_category'), ('open', 'status')]"
276,1195,1356,3,"[('MO', 'in_state'), ('St. Louis', 'located_in_city'), ('open', 'status')]"
276,1195,3438,5,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('DogsAllowed=True', 'has_attribute'), ('MO', 'in_state'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('open', 'status')]"
276,1195,558,3,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('RestaurantsPriceRange2=2', 'has_attribute')]"
276,1195,5360,5,"[('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('open', 'status')]"
276,1195,592,4,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('MO', 'in_state'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('open', 'status')]"
276,1195,4656,4,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('DogsAllowed=True', 'has_attribute'), ('MO', 'in_state'), ('RestaurantsPriceRange2=2', 'has_attribute')]"
276,1195,880,2,"[('MO', 'in_state'), ('open', 'status')]"
276,1195,4088,3,"[('4.0 stars', 'has_rating'), ('MO', 'in_state'), ('open', 'status')]"
276,1298,1442,5,"[('OutdoorSeating=False', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('RestaurantsTakeOut=True', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
276,1298,4326,6,"[('BusinessAcceptsBitcoin=False', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('Venues & Event Spaces', 'has_category'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
276,1298,3143,10,"[('BikeParking=True', 'has_attribute'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('BusinessParking={garage: False, street: True, validated: False, lot: True, valet: False}', 'has_attribute'), ('DogsAllowed=False', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('GoodForKids=True', 'has_attribute'), ('MO', 'in_state'), ('Venues & Event Spaces', 'has_category'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
