usuario,hotel_recomendado,hotel_historico,num_propiedades_compartidas,propiedades_compartidas
3,104,457,2,"[('Tours', 'has_category'), ('open', 'status')]"
3,104,2513,2,"[('Tours', 'has_category'), ('open', 'status')]"
3,104,1941,3,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('open', 'status')]"
3,104,1783,4,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('ByAppointmentOnly=False', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('open', 'status')]"
3,1054,457,3,"[('PA', 'in_state'), ('Philadelphia', 'located_in_city'), ('open', 'status')]"
3,1054,2513,4,"[('4.0 stars', 'has_rating'), ('PA', 'in_state'), ('Philadelphia', 'located_in_city'), ('open', 'status')]"
3,1054,1941,5,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('PA', 'in_state'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
3,1054,1783,5,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('PA', 'in_state'), ('Philadelphia', 'located_in_city'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
3,1093,457,1,"[('open', 'status')]"
3,1093,2513,2,"[('4.0 stars', 'has_rating'), ('open', 'status')]"
3,1093,1941,3,"[('RestaurantsPriceRange2=2', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
3,1093,1783,3,"[('ByAppointmentOnly=False', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
3,1164,457,2,"[('Tours', 'has_category'), ('open', 'status')]"
3,1164,2513,3,"[('4.0 stars', 'has_rating'), ('Tours', 'has_category'), ('open', 'status')]"
3,1164,1941,3,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('open', 'status')]"
3,1164,1783,6,"[('Arts & Entertainment', 'has_category'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('GoodForKids=True', 'has_attribute'), ('Local Flavor', 'has_category'), ('Museums', 'has_category'), ('open', 'status')]"
3,1442,457,1,"[('open', 'status')]"
3,1442,2513,1,"[('open', 'status')]"
3,1442,1941,4,"[('3.0 stars', 'has_rating'), ('RestaurantsPriceRange2=2', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
3,1442,1783,5,"[('ByAppointmentOnly=False', 'has_attribute'), ('OutdoorSeating=False', 'has_attribute'), ('RestaurantsDelivery=False', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
3,1487,457,4,"[('19106', 'has_postal_code'), ('PA', 'in_state'), ('Philadelphia', 'located_in_city'), ('Tours', 'has_category')]"
3,1487,2513,4,"[('19106', 'has_postal_code'), ('PA', 'in_state'), ('Philadelphia', 'located_in_city'), ('Tours', 'has_category')]"
3,1487,1941,1,"[('PA', 'in_state')]"
3,1487,1783,4,"[('19106', 'has_postal_code'), ('Local Flavor', 'has_category'), ('PA', 'in_state'), ('Philadelphia', 'located_in_city')]"
3,1608,457,3,"[('4.5 stars', 'has_rating'), ('Tours', 'has_category'), ('open', 'status')]"
3,1608,2513,2,"[('Tours', 'has_category'), ('open', 'status')]"
3,1608,1941,2,"[('WiFi=free', 'has_attribute'), ('open', 'status')]"
3,1608,1783,4,"[('4.5 stars', 'has_rating'), ('Arts & Entertainment', 'has_category'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
3,163,457,4,"[('19106', 'has_postal_code'), ('PA', 'in_state'), ('Philadelphia', 'located_in_city'), ('open', 'status')]"
3,163,2513,5,"[('19106', 'has_postal_code'), ('4.0 stars', 'has_rating'), ('PA', 'in_state'), ('Philadelphia', 'located_in_city'), ('open', 'status')]"
3,163,1941,5,"[('BusinessAcceptsCreditCards=True', 'has_attribute'), ('Event Planning & Services', 'has_category'), ('PA', 'in_state'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
3,163,1783,8,"[('19106', 'has_postal_code'), ('BusinessAcceptsCreditCards=True', 'has_attribute'), ('PA', 'in_state'), ('Philadelphia', 'located_in_city'), ('Restaurants', 'has_category'), ('RestaurantsReservations=True', 'has_attribute'), ('WiFi=free', 'has_attribute'), ('open', 'status')]"
3,1693,457,2,"[('PA', 'in_state'), ('open', 'status')]"
